147: 8.546150, 9.072361 avg, 0.000046 rate, 4.831043 seconds, 9408 images
148: 8.396241, 9.004749 avg, 0.000047 rate, 4.860863 seconds, 9472 images
149: 8.423600, 8.946634 avg, 0.000048 rate, 4.870132 seconds, 9536 images
150: 8.439265, 8.895897 avg, 0.000049 rate, 4.865370 seconds, 9600 images
151: 8.155298, 8.821837 avg, 0.000051 rate, 11.651015 seconds, 9664 images
152: 8.245431, 8.764196 avg, 0.000052 rate, 11.486476 seconds, 9728 images
153: 7.607727, 8.648549 avg, 0.000054 rate, 11.458928 seconds, 9792 images
154: 8.161961, 8.599890 avg, 0.000055 rate, 11.457472 seconds, 9856 images
155: 7.691148, 8.509016 avg, 0.000056 rate, 11.479315 seconds, 9920 images
156: 8.717996, 8.529914 avg, 0.000058 rate, 11.534318 seconds, 9984 images
157: 7.966388, 8.473561 avg, 0.000059 rate, 11.501442 seconds, 10048 images
158: 8.505928, 8.476798 avg, 0.000061 rate, 11.465605 seconds, 10112 images
159: 6.902467, 8.319365 avg, 0.000062 rate, 11.463914 seconds, 10176 images
160: 7.955957, 8.283024 avg, 0.000064 rate, 11.440072 seconds, 10240 images
161: 7.943535, 8.249075 avg, 0.000066 rate, 7.535404 seconds, 10304 images
162: 7.485553, 8.172723 avg, 0.000067 rate, 7.588989 seconds, 10368 images
163: 7.754239, 8.130875 avg, 0.000069 rate, 7.603008 seconds, 10432 images
164: 6.639807, 7.981768 avg, 0.000071 rate, 7.599342 seconds, 10496 images
165: 7.534079, 7.936999 avg, 0.000072 rate, 7.643808 seconds, 10560 images
166: 6.942216, 7.837521 avg, 0.000074 rate, 7.627969 seconds, 10624 images
167: 7.339668, 7.787735 avg, 0.000076 rate, 7.587707 seconds, 10688 images
168: 7.193549, 7.728317 avg, 0.000078 rate, 7.599273 seconds, 10752 images
169: 6.691823, 7.624667 avg, 0.000080 rate, 7.604535 seconds, 10816 images
170: 7.059945, 7.568195 avg, 0.000082 rate, 7.602395 seconds, 10880 images
171: 7.928246, 7.604200 avg, 0.000083 rate, 4.152166 seconds, 10944 images
172: 6.823566, 7.526136 avg, 0.000085 rate, 4.200875 seconds, 11008 images
173: 7.071738, 7.480697 avg, 0.000087 rate, 4.246458 seconds, 11072 images
174: 7.458620, 7.478489 avg, 0.000090 rate, 4.244268 seconds, 11136 images
175: 7.364665, 7.467106 avg, 0.000092 rate, 4.224639 seconds, 11200 images
176: 6.232738, 7.343669 avg, 0.000094 rate, 4.237792 seconds, 11264 images
177: 6.429401, 7.252243 avg, 0.000096 rate, 4.237542 seconds, 11328 images
178: 6.958405, 7.222859 avg, 0.000098 rate, 4.217620 seconds, 11392 images
179: 7.919609, 7.292534 avg, 0.000100 rate, 4.221127 seconds, 11456 images
180: 7.402192, 7.303500 avg, 0.000103 rate, 4.254151 seconds, 11520 images
181: 6.214926, 7.194643 avg, 0.000105 rate, 7.642195 seconds, 11584 images
182: 5.551827, 7.030361 avg, 0.000107 rate, 7.590174 seconds, 11648 images
183: 7.061518, 7.033477 avg, 0.000110 rate, 7.599918 seconds, 11712 images
184: 5.477336, 6.877863 avg, 0.000112 rate, 7.611847 seconds, 11776 images
185: 6.535413, 6.843618 avg, 0.000114 rate, 7.599644 seconds, 11840 images
186: 6.169650, 6.776221 avg, 0.000117 rate, 7.610917 seconds, 11904 images
187: 6.503192, 6.748919 avg, 0.000119 rate, 7.602350 seconds, 11968 images
188: 5.738199, 6.647847 avg, 0.000122 rate, 7.594341 seconds, 12032 images
189: 5.083890, 6.491451 avg, 0.000125 rate, 7.614591 seconds, 12096 images
190: 5.790719, 6.421378 avg, 0.000127 rate, 7.615268 seconds, 12160 images
191: 5.027325, 6.281973 avg, 0.000130 rate, 7.566890 seconds, 12224 images
192: 5.874569, 6.241232 avg, 0.000133 rate, 7.628777 seconds, 12288 images
193: 4.993957, 6.116505 avg, 0.000135 rate, 7.603883 seconds, 12352 images
194: 5.480514, 6.052906 avg, 0.000138 rate, 7.606414 seconds, 12416 images
195: 5.461867, 5.993802 avg, 0.000141 rate, 7.593442 seconds, 12480 images
196: 5.216383, 5.916060 avg, 0.000144 rate, 7.586000 seconds, 12544 images
197: 4.411013, 5.765555 avg, 0.000147 rate, 7.633936 seconds, 12608 images
198: 4.713226, 5.660322 avg, 0.000150 rate, 7.610526 seconds, 12672 images
199: 5.316824, 5.625972 avg, 0.000153 rate, 7.597949 seconds, 12736 images
200: 4.992434, 5.562618 avg, 0.000156 rate, 7.590079 seconds, 12800 images
201: 5.474274, 5.553784 avg, 0.000159 rate, 4.209166 seconds, 12864 images
202: 4.828838, 5.481289 avg, 0.000163 rate, 4.251120 seconds, 12928 images
203: 4.062041, 5.339365 avg, 0.000166 rate, 4.235383 seconds, 12992 images
204: 5.142595, 5.319688 avg, 0.000169 rate, 4.213958 seconds, 13056 images
205: 4.957374, 5.283456 avg, 0.000172 rate, 4.200002 seconds, 13120 images
206: 3.839458, 5.139057 avg, 0.000176 rate, 4.209711 seconds, 13184 images
207: 4.144625, 5.039614 avg, 0.000179 rate, 4.224738 seconds, 13248 images
208: 4.487166, 4.984369 avg, 0.000183 rate, 4.247898 seconds, 13312 images
209: 3.854795, 4.871411 avg, 0.000186 rate, 4.243501 seconds, 13376 images
210: 4.775740, 4.861844 avg, 0.000190 rate, 4.210240 seconds, 13440 images
211: 4.602565, 4.835916 avg, 0.000194 rate, 11.699072 seconds, 13504 images
212: 3.699647, 4.722289 avg, 0.000197 rate, 11.468256 seconds, 13568 images
213: 4.606526, 4.710713 avg, 0.000201 rate, 11.460435 seconds, 13632 images
214: 3.406196, 4.580261 avg, 0.000205 rate, 11.551347 seconds, 13696 images
215: 3.730330, 4.495268 avg, 0.000209 rate, 11.466846 seconds, 13760 images
216: 3.772011, 4.422942 avg, 0.000213 rate, 11.467462 seconds, 13824 images
217: 4.300449, 4.410693 avg, 0.000217 rate, 11.447594 seconds, 13888 images
218: 4.116087, 4.381232 avg, 0.000221 rate, 11.478057 seconds, 13952 images
219: 3.809762, 4.324085 avg, 0.000225 rate, 11.467222 seconds, 14016 images
220: 3.267916, 4.218468 avg, 0.000229 rate, 11.478859 seconds, 14080 images
221: 3.175204, 4.114142 avg, 0.000233 rate, 9.285200 seconds, 14144 images
222: 3.363434, 4.039071 avg, 0.000237 rate, 9.355986 seconds, 14208 images
223: 2.904115, 3.925575 avg, 0.000242 rate, 9.340553 seconds, 14272 images
224: 3.070514, 3.840069 avg, 0.000246 rate, 9.327084 seconds, 14336 images
225: 3.201242, 3.776186 avg, 0.000250 rate, 9.333263 seconds, 14400 images
226: 3.235968, 3.722165 avg, 0.000255 rate, 9.329121 seconds, 14464 images
227: 2.886315, 3.638580 avg, 0.000259 rate, 9.318359 seconds, 14528 images
228: 3.047349, 3.579457 avg, 0.000264 rate, 9.369605 seconds, 14592 images
229: 2.966783, 3.518189 avg, 0.000269 rate, 9.447170 seconds, 14656 images
230: 3.245532, 3.490923 avg, 0.000273 rate, 9.397798 seconds, 14720 images
231: 2.983348, 3.440166 avg, 0.000278 rate, 4.197794 seconds, 14784 images
232: 2.795263, 3.375675 avg, 0.000283 rate, 4.209959 seconds, 14848 images
233: 2.917382, 3.329846 avg, 0.000288 rate, 4.222151 seconds, 14912 images
234: 2.851775, 3.282039 avg, 0.000293 rate, 4.218447 seconds, 14976 images
235: 2.411741, 3.195009 avg, 0.000298 rate, 4.247454 seconds, 15040 images
236: 2.588587, 3.134367 avg, 0.000303 rate, 4.259891 seconds, 15104 images
237: 2.928648, 3.113795 avg, 0.000308 rate, 4.203615 seconds, 15168 images
238: 2.325231, 3.034938 avg, 0.000313 rate, 4.201339 seconds, 15232 images
239: 2.721253, 3.003570 avg, 0.000319 rate, 4.223654 seconds, 15296 images
240: 2.894241, 2.992637 avg, 0.000324 rate, 4.200479 seconds, 15360 images
241: 2.489694, 2.942343 avg, 0.000329 rate, 6.424388 seconds, 15424 images
242: 2.214755, 2.869584 avg, 0.000335 rate, 6.428990 seconds, 15488 images
243: 2.123804, 2.795006 avg, 0.000341 rate, 6.426972 seconds, 15552 images
244: 2.720444, 2.787550 avg, 0.000346 rate, 6.430274 seconds, 15616 images
245: 2.826844, 2.791479 avg, 0.000352 rate, 6.462438 seconds, 15680 images
246: 2.001118, 2.712443 avg, 0.000358 rate, 6.460249 seconds, 15744 images
247: 2.017020, 2.642901 avg, 0.000363 rate, 6.449047 seconds, 15808 images
248: 2.087007, 2.587311 avg, 0.000369 rate, 6.437360 seconds, 15872 images
249: 2.435990, 2.572179 avg, 0.000375 rate, 6.436635 seconds, 15936 images
250: 2.019628, 2.516924 avg, 0.000381 rate, 6.441248 seconds, 16000 images
251: 2.261849, 2.491416 avg, 0.000388 rate, 10.118051 seconds, 16064 images
252: 2.090976, 2.451372 avg, 0.000394 rate, 10.152065 seconds, 16128 images
253: 2.576791, 2.463914 avg, 0.000400 rate, 10.161062 seconds, 16192 images
254: 2.420876, 2.459610 avg, 0.000406 rate, 10.179457 seconds, 16256 images
255: 1.705712, 2.384221 avg, 0.000413 rate, 10.225075 seconds, 16320 images
256: 2.129650, 2.358763 avg, 0.000419 rate, 10.166091 seconds, 16384 images
257: 2.306653, 2.353552 avg, 0.000426 rate, 10.161571 seconds, 16448 images
258: 2.118577, 2.330055 avg, 0.000433 rate, 10.158905 seconds, 16512 images
259: 2.357932, 2.332842 avg, 0.000439 rate, 10.161675 seconds, 16576 images
260: 1.748791, 2.274437 avg, 0.000446 rate, 10.155155 seconds, 16640 images
261: 2.553285, 2.302322 avg, 0.000453 rate, 11.355883 seconds, 16704 images
262: 2.299942, 2.302084 avg, 0.000460 rate, 11.511229 seconds, 16768 images
263: 2.120942, 2.283970 avg, 0.000467 rate, 11.484466 seconds, 16832 images
264: 2.862305, 2.341804 avg, 0.000474 rate, 11.487034 seconds, 16896 images
265: 2.373307, 2.344954 avg, 0.000482 rate, 11.439491 seconds, 16960 images
266: 2.032540, 2.313712 avg, 0.000489 rate, 11.469667 seconds, 17024 images
267: 2.387470, 2.321088 avg, 0.000496 rate, 11.521277 seconds, 17088 images
268: 2.207517, 2.309731 avg, 0.000504 rate, 11.535016 seconds, 17152 images
269: 2.207404, 2.299498 avg, 0.000511 rate, 11.515204 seconds, 17216 images
270: 2.675904, 2.337139 avg, 0.000519 rate, 11.518028 seconds, 17280 images
271: 2.267301, 2.330155 avg, 0.000527 rate, 4.794189 seconds, 17344 images
272: 1.978810, 2.295021 avg, 0.000535 rate, 4.868774 seconds, 17408 images
273: 1.976878, 2.263206 avg, 0.000542 rate, 4.831495 seconds, 17472 images
274: 1.977786, 2.234664 avg, 0.000550 rate, 4.847363 seconds, 17536 images
275: 2.463847, 2.257582 avg, 0.000559 rate, 4.833815 seconds, 17600 images
276: 2.172683, 2.249093 avg, 0.000567 rate, 4.847495 seconds, 17664 images
277: 1.627038, 2.186887 avg, 0.000575 rate, 4.815853 seconds, 17728 images
278: 1.879069, 2.156105 avg, 0.000583 rate, 4.802757 seconds, 17792 images
279: 2.237706, 2.164265 avg, 0.000592 rate, 4.805610 seconds, 17856 images
280: 2.178572, 2.165696 avg, 0.000600 rate, 4.820877 seconds, 17920 images
281: 1.770169, 2.126143 avg, 0.000609 rate, 7.571994 seconds, 17984 images
282: 1.753969, 2.088926 avg, 0.000618 rate, 7.603099 seconds, 18048 images
283: 2.026029, 2.082636 avg, 0.000626 rate, 7.657019 seconds, 18112 images
284: 1.952933, 2.069666 avg, 0.000635 rate, 7.612787 seconds, 18176 images
285: 1.843940, 2.047093 avg, 0.000644 rate, 7.600411 seconds, 18240 images
286: 2.143194, 2.056703 avg, 0.000653 rate, 7.606679 seconds, 18304 images
287: 2.078164, 2.058849 avg, 0.000663 rate, 7.600929 seconds, 18368 images
288: 1.756022, 2.028567 avg, 0.000672 rate, 7.588349 seconds, 18432 images
289: 1.904228, 2.016133 avg, 0.000681 rate, 7.585979 seconds, 18496 images
290: 1.708216, 1.985341 avg, 0.000691 rate, 7.595081 seconds, 18560 images
291: 1.749245, 1.961732 avg, 0.000700 rate, 10.099030 seconds, 18624 images
292: 1.819642, 1.947523 avg, 0.000710 rate, 10.201721 seconds, 18688 images
293: 1.762850, 1.929055 avg, 0.000720 rate, 10.208507 seconds, 18752 images
294: 1.905663, 1.926716 avg, 0.000730 rate, 10.170500 seconds, 18816 images
295: 1.914907, 1.925535 avg, 0.000740 rate, 10.156729 seconds, 18880 images
296: 1.749383, 1.907920 avg, 0.000750 rate, 10.155719 seconds, 18944 images
